ts,occ,scenario,rep_num
976.6044173085787,24.0,base_r3s4i18s2,1
976.6044173085787,25.0,base_r3s4i18s2,1
979.084787766727,24.0,base_r3s4i18s2,1
979.084787766727,25.0,base_r3s4i18s2,1
980.4785488315536,24.0,base_r3s4i18s2,1
980.4785488315536,25.0,base_r3s4i18s2,1
980.9056898910645,24.0,base_r3s4i18s2,1
980.9056898910645,25.0,base_r3s4i18s2,1
981.1639477892212,24.0,base_r3s4i18s2,1
981.1639477892212,25.0,base_r3s4i18s2,1
981.3325652710265,24.0,base_r3s4i18s2,1
981.3325652710265,25.0,base_r3s4i18s2,1
982.2066419359384,24.0,base_r3s4i18s2,1
982.2066419359384,25.0,base_r3s4i18s2,1
982.2443066649819,24.0,base_r3s4i18s2,1
982.2443066649819,25.0,base_r3s4i18s2,1
982.4678301980186,24.0,base_r3s4i18s2,1
982.4678301980186,25.0,base_r3s4i18s2,1
983.3268472104616,24.0,base_r3s4i18s2,1
983.3268472104616,25.0,base_r3s4i18s2,1
984.5632215577176,24.0,base_r3s4i18s2,1
984.5632215577176,25.0,base_r3s4i18s2,1
984.7885721616398,24.0,base_r3s4i18s2,1
984.7885721616398,25.0,base_r3s4i18s2,1
984.810314241219,24.0,base_r3s4i18s2,1
984.810314241219,25.0,base_r3s4i18s2,1
985.1284832310645,24.0,base_r3s4i18s2,1
985.1284832310645,25.0,base_r3s4i18s2,1
985.1643916313292,24.0,base_r3s4i18s2,1
985.1643916313292,25.0,base_r3s4i18s2,1
985.8239110097182,24.0,base_r3s4i18s2,1
985.8239110097182,25.0,base_r3s4i18s2,1
986.7449243035442,24.0,base_r3s4i18s2,1
986.7449243035442,25.0,base_r3s4i18s2,1
987.5340815338297,24.0,base_r3s4i18s2,1
987.5340815338297,25.0,base_r3s4i18s2,1
988.7928040215506,24.0,base_r3s4i18s2,1
988.7928040215506,25.0,base_r3s4i18s2,1
988.7936767050502,24.0,base_r3s4i18s2,1
988.7936767050502,25.0,base_r3s4i18s2,1
989.7328136632775,24.0,base_r3s4i18s2,1
989.7328136632775,25.0,base_r3s4i18s2,1
989.9621326553156,24.0,base_r3s4i18s2,1
989.9621326553156,25.0,base_r3s4i18s2,1
990.2071556531129,24.0,base_r3s4i18s2,1
990.2071556531129,25.0,base_r3s4i18s2,1
990.9861355629304,24.0,base_r3s4i18s2,1
990.9861355629304,25.0,base_r3s4i18s2,1
991.8281196837816,24.0,base_r3s4i18s2,1
